2014-11-28 16:02:42.7014 *********************************************************
2014-11-28 16:02:42.7170 * VersionOne Data Migration Log
2014-11-28 16:02:42.7326 * 11/28/2014 4:02:42 PM
2014-11-28 16:02:42.7326 *********************************************************
2014-11-28 16:02:42.7326 
2014-11-28 16:02:42.7326 Initializing configurations.
2014-11-28 16:02:42.9822 Verifying connections.
2014-11-28 16:02:56.3760 -> Connection to staging database "V1Staging" verified.
2014-11-28 16:03:17.7852 -> Connection to V1 target instance "http://localhost/AllyProduction" verified.
2014-11-28 16:03:17.7852 -> V1 target instance version: 14.3.2.6314.
2014-11-28 16:03:18.0504 
2014-11-28 16:03:18.0504 *** IMPORTING:
2014-11-28 16:03:18.2688 Importing conversations.
2014-11-28 16:03:26.3184 Name is Defect:9390 and newAssetOId is 
2014-11-28 16:03:28.0032 Name is Defect:9390 and newAssetOId is 
2014-11-28 16:03:28.1904 Name is Defect:10025 and newAssetOId is 
2014-11-28 16:03:28.3620 Name is Defect:10028 and newAssetOId is 
2014-11-28 16:03:28.5336 Name is Defect:10254 and newAssetOId is 
2014-11-28 16:03:28.7052 Name is Defect:10265 and newAssetOId is 
2014-11-28 16:03:28.8768 Name is Defect:10385 and newAssetOId is 
2014-11-28 16:03:29.7972 Name is Defect:10385 and newAssetOId is 
2014-11-28 16:03:31.1544 Name is Defect:10412 and newAssetOId is 
2014-11-28 16:03:31.3260 Name is Defect:10412 and newAssetOId is 
2014-11-28 16:03:31.4976 Name is Defect:10412 and newAssetOId is 
2014-11-28 16:03:31.6692 Name is Defect:10412 and newAssetOId is 
2014-11-28 16:03:31.8408 Name is Defect:10592 and newAssetOId is 
2014-11-28 16:03:32.9640 Name is Defect:10592 and newAssetOId is 
2014-11-28 16:03:34.0404 Name is Defect:10592 and newAssetOId is 
2014-11-28 16:03:34.2120 Name is Defect:10619 and newAssetOId is 
2014-11-28 16:03:34.3836 Name is Defect:10619 and newAssetOId is 
2014-11-28 16:03:34.5552 Name is Defect:10619 and newAssetOId is 
2014-11-28 16:03:34.7268 Name is Defect:10656 and newAssetOId is 
2014-11-28 16:03:34.8984 Name is Defect:10656 and newAssetOId is 
2014-11-28 16:03:35.8500 Name is Defect:10656 and newAssetOId is 
2014-11-28 16:03:37.2540 Name is Defect:10731 and newAssetOId is 
2014-11-28 16:03:37.4256 Name is Defect:10731 and newAssetOId is 
2014-11-28 16:03:37.6138 Name is Defect:10731 and newAssetOId is 
2014-11-28 16:03:37.7854 Name is Defect:10837 and newAssetOId is 
2014-11-28 16:03:37.9570 Name is Defect:10837 and newAssetOId is 
2014-11-28 16:03:39.0178 Name is Defect:10840 and newAssetOId is 
2014-11-28 16:03:40.4374 Name is Defect:10840 and newAssetOId is 
2014-11-28 16:03:40.6090 Name is Defect:10840 and newAssetOId is 
2014-11-28 16:03:40.7806 Name is Defect:10882 and newAssetOId is 
2014-11-28 16:03:40.9522 Name is Defect:10882 and newAssetOId is 
2014-11-28 16:03:41.1238 Name is Defect:10882 and newAssetOId is 
2014-11-28 16:03:41.9506 Name is Defect:10888 and newAssetOId is 
2014-11-28 16:03:43.2454 Name is Defect:10888 and newAssetOId is 
2014-11-28 16:03:43.4170 Name is Defect:10888 and newAssetOId is 
2014-11-28 16:03:43.5886 Name is Defect:10926 and newAssetOId is 
2014-11-28 16:03:43.7602 Name is Defect:10926 and newAssetOId is 
2014-11-28 16:03:43.9318 Name is Defect:10926 and newAssetOId is 
2014-11-28 16:03:44.1034 Name is Defect:10926 and newAssetOId is 
2014-11-28 16:03:44.8678 Name is Defect:10926 and newAssetOId is 
2014-11-28 16:03:46.3186 Name is Defect:10934 and newAssetOId is 
2014-11-28 16:03:46.4902 Name is Defect:10934 and newAssetOId is 
